224,Australasian Joint Conference on Artificial Intelligence,AI,CORE2013,Australasian,Yes,0801,,
229,Australasian Speech Science and Technology,SST,CORE2013,Australasian,Yes,0801,,
240,Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,CORE2013,C,Yes,0801,,
248,Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,CORE2013,Australasian,Yes,0801,,
249,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,CORE2013,Australasian,Yes,0801,,
251,Australian Conference on Neural Networks,ACNN,CORE2013,Australasian,Yes,0801,,
262,Australian Knowledge Acquisition Workshop,AKAW,CORE2013,Australasian,Yes,0801,,
263,Australian MADYMO Users Meeting,MADYMO,CORE2013,Australasian,Yes,0801,,
268,Australian Symposium on Information Visualisation,ASIV,CORE2013,Australasian,Yes,0801,,
285,Bioinformatics Visualization,BioViz,CORE2013,C,No,0801,,
323,Complex Objects Visualization Workshop,COV,CORE2013,C,No,0801,,
333,"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,CORE2013,C,No,0801,,
335,Computer Graphics International,CGI,CORE2013,B,No,0801,,
346,Conference in Uncertainty in Artificial Intelligence,UAI,CORE2013,A*,Yes,0801,,
348,Conference of the Association for Machine Translation in the Americas,AMTA,CORE2013,B,No,0801,,
352,Conference of the European Association for Machine Translation,EAMT,CORE2013,B,No,0801,,
353,Conference of the International Society for Decision Support Systems,ISDSS,CORE2013,C,No,0801,,
354,Conference of the Pacific Association for Computational Linguistics,PACLING,CORE2013,B,No,0801,,
359,Conference on Artificial Intelligence for Applications,CAIA,CORE2013,B,No,0801,,
360,Conference on Artificial Neural Networks and Expert systems,ANNES,CORE2013,C,No,0801,,
371,Conference on Computational Natural Language Learning,CoNLL,CORE2013,A,No,0801,,
385,Conference on Visualization and Data Analysis,VDA,CORE2013,C,No,0801,,
398,"Cooperative Design, Visualization, and Engineering",CDVE,CORE2013,C,No,0801,,
400,Coordinated and Multiple Views in Exploratory Visualization,CMV,CORE2013,C,No,0801,,
405,Cultural Heritage Knowledge Visualisation,CHKV,CORE2013,C,No,0801,,
414,Design and Aesthetics in Visualisation,DAViz,CORE2013,C,No,0801,,
